AÑO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,CABECERA_MUNICIPAL,COD_CENTRO_POBLADO,CENTRO_POBLADO,COBERTURA_2G,COBERTURA_3G,COBERTURA_HSPA_HSPA_DC,COBERTURA_4G,COBERTURA_LTE,COBERTURA_5G,ESTRATO_PROMEDIO,INGRESO_PROMEDIO_HOGAR,TASA_POBREZA,INDICE_NBI,TASA_DESEMPLEO,TASA_ELECTRIFICACION,PCT_HOGARES_INTERNET,ALTITUD_MSNM,PRECIPITACION_MEDIA,INV_PUBLICA_PER_CAPITA,NOMBRE_PROVEEDOR_COMERCIAL
2017,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,NO,27250034,TORDÓ,NO,NO,NO,SÍ,NO,NO,4,2851531,10.79,18.64,17.27,92.64,53.88,1869,999.9,1487828,TIGO COLOMBIA
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5495,NECHÍ,NO,5495003,LA CONCHA,SÍ,SÍ,SÍ,SÍ,NO,NO,5,3592427,27.05,18.05,12.65,94.52,85.89,750,2935.6,536282,MOVISTAR COLOMBIA
2017,3,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70508,OVEJAS,NO,70508006,DON GABRIEL,NO,NO,NO,SÍ,NO,NO,3,3720803,50.94,30.35,16.04,87.34,50.29,626,1076.0,326301,TIGO COLOMBIA
2017,4,AVANTEL S.A.S,73,TOLIMA,73043,ANZOÁTEGUI,SÍ,73043000,ANZOÁTEGUI,SÍ,SÍ,SÍ,NO,NO,NO,5,4157679,40.16,10.4,12.69,82.94,84.83,1629,3137.9,1057508,AVANTEL
2017,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50150,CASTILLA LA NUEVA,NO,50150001,SAN LORENZO,SÍ,SÍ,SÍ,SÍ,NO,NO,5,5190020,26.86,46.26,18.04,84.13,88.86,994,3888.4,924765,CLARO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5264,ENTRERRIOS,SÍ,5264000,ENTRERRÍOS,SÍ,SÍ,SÍ,SÍ,NO,NO,2,3481719,55.28,37.43,11.04,86.27,69.71,1583,3228.4,1007651,CLARO COLOMBIA
2017,4,COLOMBIA MOVIL  S.A ESP,20,CESAR,20787,TAMALAMEQUE,NO,20787015,EL DOCE,NO,NO,NO,SÍ,NO,NO,3,1690695,48.63,23.07,19.55,92.72,79.01,702,578.6,1493749,TIGO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,81,ARAUCA,81065,ARAUQUITA,NO,81065007,REINERA (GAVIOTA),SÍ,SÍ,SÍ,NO,NO,NO,3,4994430,23.24,12.14,18.98,87.97,74.97,2509,2599.6,1450417,CLARO COLOMBIA
2017,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,44,LA GUAJIRA,44279,FONSECA,SÍ,44279001,FONSECA,NO,NO,SÍ,NO,SÍ,NO,3,1638761,42.26,44.69,16.12,80.14,71.97,2059,2933.9,1952642,ETB
2017,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15172,CHINAVITA,SÍ,15172000,CHINAVITA,NO,SÍ,SÍ,NO,NO,NO,5,1300315,39.79,42.07,9.19,90.47,48.42,1179,3389.1,1011952,WOM COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001,SINCELEJO,NO,70001020,POLICARPA,SÍ,SÍ,SÍ,NO,NO,NO,4,3214472,30.06,37.48,6.97,98.43,33.43,476,696.0,1959569,CLARO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,NO,0,VERACRUZ,NO,NO,NO,NO,NO,NO,3,2099445,28.35,17.22,17.82,96.24,50.58,2986,2180.4,511249,CLARO COLOMBIA
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25873,VILLAPINZÓN,SÍ,25873000,VILLAPINZÓN,SÍ,SÍ,SÍ,SÍ,NO,NO,5,5735730,27.18,23.11,7.48,96.5,70.02,400,2373.8,1090391,MOVISTAR COLOMBIA
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5086,BELMIRA,SÍ,5086000,BELMIRA,NO,NO,NO,SÍ,NO,NO,2,1298716,40.86,9.62,17.81,95.9,36.15,2855,1091.9,155063,MOVISTAR COLOMBIA
2017,3,PARTNERS TELECOM COLOMBIA SAS,18,CAQUETA,18205,CURILLO,SÍ,18205000,CURILLO,NO,SÍ,SÍ,SÍ,NO,NO,4,3941069,32.12,13.51,12.36,86.47,30.72,2224,1628.6,1960929,WOM COLOMBIA
2017,4,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52490,OLAYA HERRERA,SÍ,52490000,BOCAS DE SATINGA,SÍ,SÍ,SÍ,SÍ,NO,NO,2,4121127,51.59,40.24,11.1,95.3,38.38,56,2040.8,643628,TIGO COLOMBIA
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,66,RISARALDA,66001,PEREIRA,NO,66001025,NUEVA SIRIA,SÍ,NO,NO,NO,NO,NO,4,3359272,43.48,37.18,18.55,82.86,72.94,1875,3416.2,687069,MOVISTAR COLOMBIA
2017,1,PARTNERS TELECOM COLOMBIA SAS,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,SÍ,54874000,VILLA DEL ROSARIO,NO,SÍ,SÍ,SÍ,NO,NO,5,3076106,13.5,31.71,14.06,93.15,88.37,447,3752.9,1949909,WOM COLOMBIA
2017,3,COLOMBIA MOVIL  S.A ESP,20,CESAR,20570,PUEBLO BELLO,NO,20570002,LAS MINAS DE IRACAL,NO,SÍ,SÍ,NO,NO,NO,1,2802324,42.01,45.31,13.65,92.83,88.98,202,2699.5,1159214,TIGO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,NO,13468013,LA RINCONADA,SÍ,SÍ,SÍ,NO,NO,NO,4,5127021,23.56,31.25,13.38,80.51,59.64,1656,1882.3,317986,CLARO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20787,TAMALAMEQUE,SÍ,20787000,TAMALAMEQUE,SÍ,SÍ,SÍ,SÍ,NO,NO,2,4124323,39.64,26.01,10.57,95.76,82.16,737,1389.1,1455044,CLARO COLOMBIA
2017,4,PARTNERS TELECOM COLOMBIA SAS,19,CAUCA,19807,TIMBÍO,SÍ,19807000,TIMBÍO,NO,SÍ,SÍ,NO,NO,NO,5,4751416,44.01,20.32,16.78,98.06,74.21,201,3937.5,1499076,WOM COLOMBIA
2017,4,COMUNICACION CELULAR S A COMCEL S A,85,CASANARE,85410,TAURAMENA,NO,85410005,PASO CUSIANA,SÍ,SÍ,SÍ,SÍ,NO,NO,4,1294592,21.54,47.32,8.79,85.35,60.06,1353,3940.6,321668,CLARO COLOMBIA
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47053,ARACATACA,NO,47053016,EL TIGRE,SÍ,NO,NO,NO,NO,NO,1,4045886,32.84,8.72,19.08,96.25,64.37,2410,3737.4,394786,MOVISTAR COLOMBIA
2017,4,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5250,EL BAGRE,SÍ,5250000,EL BAGRE,NO,SÍ,SÍ,SÍ,NO,NO,1,4654261,19.52,46.89,18.41,81.65,38.23,891,3249.8,615518,TIGO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66001,PEREIRA,NO,66001036,PITAL DE COMBIA,SÍ,SÍ,SÍ,SÍ,NO,NO,3,4378226,12.62,42.2,10.06,92.0,86.26,2501,1640.2,649666,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76036,ANDALUCÍA,SÍ,76036000,ANDALUCÍA,SÍ,SÍ,SÍ,SÍ,NO,NO,3,2829454,28.92,10.85,15.94,89.71,51.12,2403,3359.5,1985875,CLARO COLOMBIA
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41503,OPORAPA,SÍ,41503001,OPORAPA,SÍ,SÍ,NO,NO,NO,NO,2,3227540,28.15,30.42,13.6,90.92,56.77,215,1930.8,1484406,MOVISTAR COLOMBIA
2017,3,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25524,PANDI,SÍ,25524000,PANDI,NO,SÍ,SÍ,NO,NO,NO,4,2515630,59.77,43.99,10.06,98.52,70.3,3019,1643.7,405019,WOM COLOMBIA
